filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,0,"{""name"":""rect"",""x"":441,""y"":164,""width"":43,""height"":37}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,1,"{""name"":""rect"",""x"":90,""y"":281,""width"":49,""height"":46}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,2,"{""name"":""rect"",""x"":126,""y"":196,""width"":19,""height"":15}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,3,"{""name"":""rect"",""x"":146,""y"":260,""width"":18,""height"":17}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,4,"{""name"":""rect"",""x"":357,""y"":142,""width"":43,""height"":29}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,5,"{""name"":""rect"",""x"":411,""y"":105,""width"":43,""height"":37}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,6,"{""name"":""rect"",""x"":387,""y"":33,""width"":47,""height"":37}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,7,"{""name"":""rect"",""x"":611,""y"":136,""width"":26,""height"":22}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,8,"{""name"":""rect"",""x"":662,""y"":116,""width"":17,""height"":20}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,9,"{""name"":""rect"",""x"":619,""y"":109,""width"":22,""height"":19}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1000_1500_1200_2200_region.jpg,203744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",113,10,"{""name"":""rect"",""x"":535,""y"":113,""width"":23,""height"":29}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
